iter	Logloss
0	0.6887818344
1	0.6837221473
2	0.6781140448
3	0.6730732798
4	0.6688738902
5	0.6636113884
6	0.6592932382
7	0.6539339241
8	0.6490449646
9	0.6451211652
10	0.6401105387
11	0.6356077545
12	0.6312669082
13	0.6270737015
14	0.6220929119
15	0.6180690503
16	0.6133566213
17	0.6095650769
18	0.6051959862
19	0.6008255505
20	0.5969262858
21	0.5925314356
22	0.5881346498
23	0.5835368782
24	0.5787782943
25	0.5745747436
26	0.5708443136
27	0.5671510827
28	0.5623458694
29	0.5581859299
30	0.554288696
31	0.5504829835
32	0.5465951735
33	0.5428038623
34	0.5390718588
35	0.5357751399
36	0.5326690826
37	0.5290353992
38	0.525289329
39	0.522364628
40	0.5188946094
41	0.515457666
42	0.5121333325
43	0.5085951002
44	0.5049675201
45	0.5013562404
46	0.4985352974
47	0.4951969738
48	0.4916961217
49	0.4884941143
50	0.484853275
51	0.481085662
52	0.477860622
53	0.4749054298
54	0.4716627418
55	0.4687103428
56	0.4661358127
57	0.4628302473
58	0.459470595
59	0.4563935892
60	0.453367826
61	0.450336452
62	0.447473807
63	0.4444714623
64	0.4418224443
65	0.4385649048
66	0.4353116386
67	0.4322376412
68	0.429976689
69	0.4271213713
70	0.4246961368
71	0.4223160744
72	0.41988077
73	0.4175446529
74	0.4147815762
75	0.412443657
76	0.4098718808
77	0.4082280185
78	0.4061547791
79	0.4038575048
80	0.4014336667
81	0.3991679677
82	0.3969887051
83	0.3948502507
84	0.3926071874
85	0.3904425164
86	0.3882591673
87	0.3855214666
88	0.3829110107
89	0.3810201567
90	0.3786388116
91	0.3764064421
92	0.3744130247
93	0.3722436446
94	0.3701345325
95	0.3682084071
96	0.3665265569
97	0.3648341091
98	0.3626429727
99	0.3603798002
100	0.3584292975
101	0.3561642818
102	0.3545707723
103	0.3527782897
104	0.3505581173
105	0.3489918776
106	0.3472092422
107	0.3457026515
108	0.3439252155
109	0.3425223733
110	0.3411348581
111	0.3393557783
112	0.3380032662
113	0.3363292746
114	0.3350171739
115	0.3330789534
116	0.3315087735
117	0.3298625386
118	0.3276916821
119	0.3261769715
120	0.3244655973
121	0.3229422846
122	0.3214788256
123	0.3197625558
124	0.3182767681
125	0.3166244713
126	0.3151119604
127	0.3136273594
128	0.3123284292
129	0.3108479869
130	0.3092947586
131	0.3079606967
132	0.3067960253
133	0.3052258041
134	0.3039451658
135	0.3026137182
136	0.3014786564
137	0.3001521456
138	0.2985754375
139	0.297168616
140	0.2957143406
141	0.2944416311
142	0.2930599827
143	0.291743936
144	0.2902618543
145	0.2892867847
146	0.2881924478
147	0.2872090519
148	0.2860215772
149	0.285155997
150	0.283954019
151	0.2828142751
152	0.2815688041
153	0.2806519842
154	0.2798985153
155	0.2786780987
156	0.2776204802
157	0.2762437609
158	0.2751525894
159	0.2738196385
160	0.2729484168
161	0.2717328129
162	0.2705739068
163	0.2696526931
164	0.2687895689
165	0.2676038704
166	0.2666566316
167	0.265806227
168	0.2645565592
169	0.2638590187
170	0.2629825765
171	0.262020769
172	0.2609407221
173	0.2600446322
174	0.2589213266
175	0.2576097908
176	0.2565724061
177	0.2560334969
178	0.255229754
179	0.2540363688
180	0.2530891264
181	0.2521693497
182	0.2512523299
183	0.250141496
184	0.2492603894
185	0.2484438352
186	0.2476069412
187	0.2467575986
